property_id,propertyUrl,City,Zipcode,latitude,longitude,type,guests,pricePerNight,overallRating,googleMapsUrl
1.15671E+18,https://www.airbnb.com/rooms/1156713903607920088,Riyadh,13524,24.79995,46.62089,Studio,2,$80,4.83,"https://www.google.com/maps/search/24.79995+46.62089/@24.79995,46.62089,17z"
8.84296E+17,https://www.airbnb.com/rooms/884296354011734664,Riyadh,13244,24.8091,46.7414,Apartment,6,$146,5,"https://www.google.com/maps/search/24.8091+46.7414/@24.8091,46.7414,17z"
1.24422E+18,https://www.airbnb.com/rooms/1244221634452231222,Riyadh,13251,24.81807,46.7918,Studio,3,$45,5,"https://www.google.com/maps/search/24.81807+46.7918/@24.81807,46.7918,17z"
1.29E+18,https://www.airbnb.com/rooms/1290001610701541042,Riyadh,13519,24.76630698,46.63071577,Other,4,$101,4.75,"https://www.google.com/maps/search/24.7663069840994+46.6307157717204/@24.7663069840994,46.6307157717204,17z"
1.26013E+18,https://www.airbnb.com/rooms/1260133662456026706,Riyadh,13421,24.86365946,46.74503725,House,6,$373,5,"https://www.google.com/maps/search/24.8636594583712+46.7450372486885/@24.8636594583712,46.7450372486885,17z"
1.26595E+18,https://www.airbnb.com/rooms/1265946411176309465,Riyadh,13335,24.8619,46.6714,Studio,2,$93,4.71,"https://www.google.com/maps/search/24.8619+46.6714/@24.8619,46.6714,17z"
1.28074E+18,https://www.airbnb.com/rooms/1280742777640348048,Riyadh,13519,24.7729,46.6325,Studio,2,$113,5,"https://www.google.com/maps/search/24.7729+46.6325/@24.7729,46.6325,17z"
1.23859E+18,https://www.airbnb.com/rooms/1238591024470921050,Riyadh,13524,24.8,46.6188,Apartment,2,$147,5,"https://www.google.com/maps/search/24.8+46.6188/@24.8,46.6188,17z"
1.26639E+18,https://www.airbnb.com/rooms/1266388453556330655,Riyadh,13522,24.80522,46.59658,Apartment,4,$240,4.86,"https://www.google.com/maps/search/24.80522+46.59658/@24.80522,46.59658,17z"
1.18526E+18,https://www.airbnb.com/rooms/1185255915635338092,الرياض,13251,24.8131,46.8084,Apartment,2,$75,5,"https://www.google.com/maps/search/24.8131+46.8084/@24.8131,46.8084,17z"
1.15671E+18,https://www.airbnb.com/rooms/1156707794822913049,Riyadh,13521,24.78309,46.61508,Studio,3,$56,4.89,"https://www.google.com/maps/search/24.78309+46.61508/@24.78309,46.61508,17z"
9.04833E+17,https://www.airbnb.com/rooms/904832796120047692,Riyadh,13421,24.8386,46.7497,Apartment,2,$251,5,"https://www.google.com/maps/search/24.8386+46.7497/@24.8386,46.7497,17z"
1.16864E+18,https://www.airbnb.com/rooms/1168638421788826089,Riyadh,11564,24.7841,46.7148,House,4,$800,5,"https://www.google.com/maps/search/24.7841+46.7148/@24.7841,46.7148,17z"
1.2711E+18,https://www.airbnb.com/rooms/1271104260174755262,Riyadh,13248,24.83115503,46.74395192,Studio,3,$107,5,"https://www.google.com/maps/search/24.8311550271628+46.7439519176733/@24.8311550271628,46.7439519176733,17z"
1.2217E+18,https://www.airbnb.com/rooms/1221703053097049689,Riyadh,13322,24.8144,46.6315,Other,2,$85,4.6,"https://www.google.com/maps/search/24.8144+46.6315/@24.8144,46.6315,17z"
1.26238E+18,https://www.airbnb.com/rooms/1262375980279575329,Riyadh,13521,24.76861004,46.59343577,Apartment,2,$120,5,"https://www.google.com/maps/search/24.7686100429929+46.5934357656525/@24.7686100429929,46.5934357656525,17z"
1.25602E+18,https://www.airbnb.com/rooms/1256015339090764661,Riyadh,13248,24.8304,46.7428,Apartment,4,$120,4.83,"https://www.google.com/maps/search/24.8304+46.7428/@24.8304,46.7428,17z"
1.27587E+18,https://www.airbnb.com/rooms/1275865629755197419,Riyadh,13521,24.76830077,46.58068784,Apartment,2,$93,5,"https://www.google.com/maps/search/24.7683007727936+46.5806878383339/@24.7683007727936,46.5806878383339,17z"
1.30602E+18,https://www.airbnb.com/rooms/1306016971829412335,Riyadh,13313,24.79954741,46.7078052,Studio,2,$80,4.83,"https://www.google.com/maps/search/24.7995474070537+46.7078051989288/@24.7995474070537,46.7078051989288,17z"
1.26664E+18,https://www.airbnb.com/rooms/1266638041646669889,Riyadh,12264,24.754,46.6462,Apartment,4,$267,4.83,"https://www.google.com/maps/search/24.754+46.6462/@24.754,46.6462,17z"
1.25729E+18,https://www.airbnb.com/rooms/1257285895427825662,Riyadh,11543,24.85259135,46.66588347,Studio,2,$92,3.67,"https://www.google.com/maps/search/24.8525913459173+46.6658834668833/@24.8525913459173,46.6658834668833,17z"
1.22332E+18,https://www.airbnb.com/rooms/1223321023565640013,Riyadh,13522,24.8053,46.5893,Other,4,$336,4.89,"https://www.google.com/maps/search/24.8053+46.5893/@24.8053,46.5893,17z"
